Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
11-Feb-13,Canada,RUM,"$238,678.72",,,,,,,
11-Feb-13,Canada,CUT FLOWERS,$640.00,,,,,,,
11-Feb-13,Canada,CUT FLOWERS,$700.00,,,,,,,
12-Feb-13,United States,RESISTORS,"$2,760.00",,,,,,,
12-Feb-13,United States,SAILS,"$6,492.00",,,,,,,
12-Feb-13,United States,SAILS,"$1,027.92",,,,,,,
12-Feb-13,United States,SAILS,"$4,540.00",,,,,,,
12-Feb-13,United States,SAILS,"$2,192.00",,,,,,,
12-Feb-13,United States,SAILS,"$7,136.40",,,,,,,
12-Feb-13,Canada,FRESH  PRODUCE ,"$2,300.00",,,,,,,
12-Feb-13,Canada,SAILS,"$7,722.58",,,,,,,
13-Feb-13,United States,BEER,"$40,748.40",,,,,,,
14-Feb-13,United States,RESISTORS,"$212,221.18",,,,,,,
14-Feb-13,United States,TORTUGA RUM CAKES,"$67,695.50",,,,,,,
18-Feb-13,United States,SWEETENED BISCUITS,"$41,900.50",,,,,,,
18-Feb-13,United States,RESISTORS,"$211,039.42",,,,,,,
18-Feb-13,United States,RUM,"$163,188.06",,,,,,,
18-Feb-13,United States,TORTUGA RUM CAKES,"$73,411.00",,,,,,,
18-Feb-13,United States,RESISTORS,$580.00,,,,,,,
18-Feb-13,Canada,FRESH  PRODUCE ,"$2,770.00",,,,,,,
18-Feb-13,Canada,RUM,"$187,862.54",,,,,,,
18-Feb-13,Canada,CUT FLOWERS,$588.00,,,,,,,
18-Feb-13,Canada,CUT FLOWERS,$700.00,,,,,,,
18-Feb-13,Canada,RUM,"$2,626.00",,,,,,,
19-Feb-13,United States,SAILS,"$3,466.00",,,,,,,
19-Feb-13,United States,SAILS,"$19,410.84",,,,,,,
19-Feb-13,Canada,SAILS,"$3,117.20",,,,,,,
20-Feb-13,United States,MAUBY SYRUP,"$44,321.00",,,,,,,
21-Feb-13,United States,RUM,"$119,087.92",,,,,,,
22-Feb-13,United States,RESISTORS,$415.80,,,,,,,
25-Feb-13,United States,CONDIMENTS,"$16,757.00",,,,,,,
25-Feb-13,United States,RUM,"$361,962.12",,,,,,,
25-Feb-13,Canada,FRESH  PRODUCE ,"$2,770.00",,,,,,,
25-Feb-13,Canada,CUT FLOWERS,$653.00,,,,,,,
25-Feb-13,Canada,CUT FLOWERS,$775.00,,,,,,,
26-Feb-13,United States,SAILS,"$10,197.24",,,,,,,
